SequenceNumber;SwingPhase;StickGlovePlane_X;StickGlovePlane_Y;StickGlovePlane_Z;FilterItem;FilterValue
2331;1;0,021852899;0,232941658;0,183186196;;
2332;1;0,021933651;0,233802435;0,183863114;;
2333;1;0,022007952;0,234594453;0,18448596;;
2334;1;0,022081352;0,235376864;0,185101251;;
2335;1;0,022153578;0,236146757;0,185706698;;
2336;1;0,022219988;0,236854652;0,186263389;;
2337;1;0,022285169;0,237549457;0,186809786;;
2338;1;0,022345628;0,238193925;0,187316598;;
2339;1;0,022404827;0,238824954;0,187812842;;
2340;1;0,022459958;0,239412626;0,188274989;;
2341;1;0,022513589;0,239984309;0,188724563;;
2342;1;0,022561334;0,24049325;0,189124796;;
2343;1;0,02260459;0,240954331;0,189487392;;
2344;1;0,022646284;0,241398772;0,189836902;;
2345;1;0,02268558;0,241817647;0,190166307;;
2346;1;0,022723331;0,24222006;0,190482766;;
2347;1;0,02276116;0,242623298;0,190799874;;
2348;1;0,022797326;0,243008813;0,191103045;;
2349;1;0,022834211;0,243401991;0,191412241;;
2350;1;0,022871762;0,243802263;0,191727017;;
2351;1;0,022907419;0,244182348;0,192025917;;
2352;1;0,022943241;0,244564197;0,192326205;;
2353;1;0,022977033;0,244924403;0,192609471;;
2354;1;0,023010641;0,245282648;0,192891197;;
2355;1;0,023042062;0,245617585;0,193154593;;
2356;1;0,023072633;0,245943457;0,193410859;;
2357;1;0,023100715;0,24624279;0,193646256;;
2358;1;0,023124478;0,246496094;0,193845455;;
2359;1;0,023143277;0,246696483;0,194003042;;
2360;1;0,023159338;0,246867686;0,194137676;;
2361;1;0,023171839;0,24700094;0,194242468;;
2362;1;0,02318133;0,247102113;0,194322031;;
2363;1;0,023185867;0,247150473;0,194360061;;
2364;1;0,02318738;0,247166599;0,194372743;;
2365;1;0,023185199;0,247143355;0,194354464;;
2366;1;0,023178104;0,247067724;0,194294987;;
2367;1;0,023167792;0,246957805;0,194208546;;
2368;1;0,02315395;0,246810251;0,194092509;;
2369;1;0,023137005;0,246629634;0,193950471;;
2370;1;0,023119155;0,246439357;0,193800837;;
2371;1;0,023098068;0,246214574;0,193624067;;
2372;1;0,023075276;0,245971625;0,193433011;;
2373;1;0,0230458;0,245657429;0,193185926;;
2374;1;0,023012542;0,245302915;0,192907135;;
2375;1;0,022972787;0,244879143;0,192573879;;
2376;1;0,022929486;0,244417571;0,192210897;;
2377;1;0,022883836;0,243930963;0,191828226;;
2378;1;0,02283446;0,243404644;0,191414327;;
2379;1;0,022782013;0,242845581;0,190974678;;
2380;1;0,02272273;0,242213654;0,190477728;;
2381;1;0,022659483;0,241539463;0,189947542;;
2382;1;0,022591001;0,240809485;0,189373485;;
2383;1;0,022518298;0,240034506;0,188764038;;
2384;1;0,022438675;0,239185762;0,188096582;;
2385;1;0,022354896;0,238292713;0,187394285;;
2386;1;0,022265979;0,237344902;0,186648923;;
2387;1;0,022172748;0,236351104;0,185867397;;
2388;1;0,022072997;0,235287804;0,185031214;;
2389;1;0,021965303;0,234139834;0,184128446;;
2390;1;0,021853209;0,232944967;0,183188798;;
2391;1;0,021734628;0,231680947;0,182194768;;
2392;1;0,021611406;0,230367464;0,18116184;;
2393;1;0,021479109;0,228957236;0,180052831;;
2394;1;0,021341978;0,227495477;0,178903299;;
2395;1;0,021193745;0,225915385;0,177660709;;
2396;1;0,021035387;0,224227369;0,176333246;;
2397;1;0,020872348;0,222489443;0,174966535;;
2398;1;0,020702317;0,220676998;0,173541221;;
2399;1;0,020527594;0,218814526;0,172076566;;
2400;1;0,020346376;0,216882827;0,17055747;;
2401;1;0,020160313;0,214899491;0,168997768;;
2402;1;0,019965787;0,212825926;0,167367109;;
2403;1;0,019762167;0,210655437;0,165660227;;
2404;1;0,019553967;0,208436122;0,16391495;;
2405;1;0,019342002;0,206176681;0,162138117;;
2406;1;0,01912551;0,20386897;0,160323324;;
2407;1;0,018906467;0,201534082;0,15848716;;
2408;1;0,018682714;0,199148973;0,156611501;;
2409;1;0,018454591;0,196717288;0,154699215;;
2410;1;0,018223434;0,19425326;0,152761494;;
2411;1;0,017987848;0,191742032;0,150786655;;
2412;1;0,017751504;0,18922271;0,14880545;;
2413;1;0,017510367;0,186652304;0,146784074;;
2414;1;0,017262112;0,184006022;0,144703027;;
2415;1;0,017009394;0,181312171;0,142584573;;
2416;1;0,016752998;0,178579103;0,140435278;;
2417;1;0,016487784;0,175752053;0,138212075;;
2418;1;0,016218126;0,172877625;0,135951614;;
2419;1;0,01594373;0,169952685;0,133651431;;
